104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0045-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0045-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0046-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0046-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0047-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0047-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0048-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0048-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0049-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0049-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0050-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0050-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0051-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0051-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0052-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0052-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0053-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0053-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0054-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0054-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0055-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0055-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0056-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0056-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0057-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0057-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0058-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0058-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0059-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0059-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0060-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0060-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0061-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0061-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0062-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0062-vi.jpg
104.01.26 18:02 B T:\commy\03-04\2nd meeting\DSCF0063-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/2nd meeting DSCF0063-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0045-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0045-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0046-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0046-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0047-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0047-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0048-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0048-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0049-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0049-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0050-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0050-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0051-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0051-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0052-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0052-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0053-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0053-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0054-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0054-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0055-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0055-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0056-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0056-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0057-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0057-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0058-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0058-vi.jpg
104.01.26 18:28 B T:\commy\03-04\2nd meeting\DSCF0059-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/2nd meeting DSCF0059-vi.jpg
