104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0008-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0008-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0009-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0009-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0010-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0010-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0011-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0011-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0012-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0012-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0013-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0013-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0014-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0014-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0015-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0015-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0016-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0016-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0017-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0017-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0018-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0018-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0020-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0020-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0021-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0021-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0022-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0022-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0023-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0023-vi.jpg
104.01.26 18:02 B T:\commy\03-04\freshman pizza party\DSCF0024-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/freshman pizza party DSCF0024-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0008-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0008-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0009-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0009-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0010-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0010-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0011-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0011-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0012-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0012-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0013-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0013-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0014-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0014-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0015-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0015-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0016-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0016-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0017-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0017-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0018-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0018-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0020-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0020-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0021-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0021-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0022-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0022-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0023-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0023-vi.jpg
104.01.26 18:28 B T:\commy\03-04\freshman pizza party\DSCF0024-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/freshman pizza party DSCF0024-vi.jpg
