104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0001-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0001-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0002-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0002-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0003-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0003-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0004-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0004-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0005-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0005-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0006-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0006-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0007-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0007-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0008-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0008-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0009-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0009-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0010-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0010-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0011-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0011-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0012-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0012-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0013-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0013-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0014-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0014-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0015-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0015-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0021-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0021-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0022-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0022-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0023-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0023-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0024-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0024-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0025-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0025-vi.jpg
104.01.26 18:02 B T:\commy\03-04\dim sum\CIMG0026-vi.jpg <--  /ase/studentorganizations/csa/pix/03-04/dim sum CIMG0026-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0001-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0001-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0002-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0002-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0003-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0003-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0004-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0004-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0005-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0005-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0006-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0006-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0007-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0007-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0008-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0008-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0009-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0009-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0010-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0010-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0011-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0011-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0012-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0012-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0013-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0013-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0014-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0014-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0015-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0015-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0021-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0021-vi.jpg
104.01.26 18:28 B T:\commy\03-04\dim sum\CIMG0022-vi.jpg --> ftp.ase.tufts.edu /ase/studentorganizations/csa/pix/thumbnails/03-04/dim sum CIMG0022-vi.jpg
